acha 38
act 23
aisio 49
alisema 19
already 33
always 49
ambayo 26
amefanye 79
ana 16
android 50
anotyeye 21
anything 16
around 36
asasioe 18
asia 22
ask 25
ass 30
away 25
baba 18
baby 35
back 88
bad 73
ball 18
beaner 19
beat 35
best 19
bet 29
big 47
bird 105
birthday 19
bitch 1846
bitcyeye 331
black 48
block 22
bora 55
bout 84
boy 67
break 18
bring 33
bro 56
brownie 38
bruh 39
bubu 27
bustani 16
buy 24
bye 20
care 21
catch 18
cause 47
charlie 50
chill 21
color 50
colored 18
cool 18
coon 32
could 56
cracker 49
crazy 24
cry 25
cusio 61
cuz 41
cyeye 70
damn 61
dat 78
dead 16
dem 27
dick 86
die 25
dis 23
dog 21
dosio 65
drink 18
dude 45
dumb 64
dyke 32
eat 54
eityeye 20
even 77
ever 33
every 28
face 29
fact 18
fag 138
faggot 219
fagot 43
fake 19
fat 41
feel 33
fight 35
finna 19
first 28
folk 21
follow 37
free 16
friend 19
fuck 387
fuckin 65
fucking 48
funny 35
game 44
gani 20
gay 31
girl 53
god 32
gon 81
good 131
great 22
guess 24
guy 46
gyeye 76
haha 88
hahaha 21
hakuna 75
halisi 21
happy 36
hard 18
hate 49
haya 61
hilo 24
hit 40
hoe 592
home 21
hood 17
hope 26
huh 20
huwezi 16
huyo 60
huyu 44
idk 23
ikiwa 121
ill 18
ima 45
imma 19
ion 22
ipad 49
iphone 48
isioo 36
jamaa 27
jamani 17
jembe 191
job 19
jogoo 16
jus 26
kabisa 24
kamwe 17
kazi 33
keep 46
kid 32
kidogo 48
kijana 35
kijinga 30
kike 26
kile 18
kill 37
kitita 29
kitoto 94
kucyeye 33
kufanya 43
kula 30
kulia 19
kuna 56
kunana 33
kuona 19
kupata 44
kupiga 27
kusema 25
kutomba 85
kuumwa 35
kwako 16
kwangu 19
kwanini 32
kweli 72
last 29
leave 27
leo 25
let 78
lie 19
life 31
like 492
lil 86
little 88
live 28
lmao 150
lmaooo 21
lmfao 31
lol 450
long 23
lose 22
love 124
mad 32
maisha 22
majembe 224
mama 42
man 107
manjano 18
many 25
mapenzi 17
mashabiki 24
mbaya 83
mcyeye 31
mean 35
meet 18
might 23
miss 33
mjinga 67
mkundu 37
mmoja 31
mock 20
mom 21
money 36
monkey 54
moto 26
mpya 22
msichaifanyi 48
mteremko 23
mtoto 107
mtu 128
mungu 21
music 16
mwanamke 19
mzuri 52
nadhani 22
nah 49
najua 17
name 48
nataka 21
naw 31
ndege 47
ndio 81
negro 22
nenda 19
never 52
new 41
next 20
ngono 58
niad 36
nicca 34
nice 19
nick 19
nid 21
nig 65
nigga 413
niggah 133
niggahs 22
niggas 20
nigger 155
nigguh 20
night 17
niir 51
niko 30
nilikuwa 31
nill 41
nim 157
nimekuwa 32
nin 224
nina 33
ninyi 46
nip 20
nir 243
nire 221
nis 55
nise 114
nitto 74
niy 239
niza 45
nizo 29
nobody 21
not 1055
nothing 19
nyeupe 23
nyuma 27
nyumbani 25
nywele 30
nzuri 37
old 36
omg 26
oreo 21
otyeye 37
pay 23
people 60
pesa 35
phone 25
pic 21
pick 17
play 41
please 30
porn 52
ppl 18
pretty 16
problem 22
pull 20
punda 171
pussy 660
queer 33
quit 17
racist 27
rafiki 21
rangi 34
read 20
real 69
really 61
red 29
redneck 40
remember 19
retard 98
retarded 27
right 101
run 35
sawa 58
school 31
send 19
shit 322
shoot 19
shot 19
show 38
shut 71
simu 17
sina 17
since 23
siwezi 23
slap 18
sleep 23
smh 50
someone 30
son 27
song 19
sorry 21
sound 26
spa 19
start 37
stay 21
stfu 62
still 90
stop 63
straight 18
stupid 36
suck 46
sure 32
swear 24
syeye 169
takataka 86
talk 107
talkin 17
tayari 16
teabagger 25
teabaggers 20
team 27
tell 75
text 18
thank 18
thanks 32
thats 34
tho 68
though 31
throw 18
today 25
tranny 18
trash 254
true 18
try 55
tryna 35
turn 17
twat 23
tweet 51
twitter 80
tyeye 1957
ugly 46
ukweli 20
una 25
unajua 17
unataka 16
unaweza 24
usiku 25
vibaya 18
video 20
vizuri 22
wako 81
walk 16
wan 44
wana 16
wanawake 24
wangu 76
wasichaifanyi 26
wasio 87
wasioed 21
wasios 16
watch 35
watoto 27
watu 56
wavulana 21
well 68
wesio 18
whatever 16
white 99
whole 17
wimbo 18
win 20
wit 43
woman 28
word 25
work 47
world 17
wow 24
wrong 20
wtf 40
wyeye 185
xxx 50
yall 40
yankee 88
yea 32
yeah 88
year 41
yellow 65
yes 42
yote 42
yuko 44
zamani 19
zote 19
